UF,Estado,Nome IF,Campus / Município,IDHM-2010,Pop. Residente,SMMínimo (em salários mínimos),PIB per capita (R$),Pessoal com ocupação,Núm. de empresas atuantes,Matrícula ensino médio (2012),Matrícula ensino fundamental (2012),Qtd. de cursos técicos,Qtd. de eixos (consolidado por IF sede),Qtd. matriculas em CT,IDEB 2013 (Series finais rede publica),Qtd. de grupos de pesquisa (Valor agregado para o IF .),Projetos PIBID (Valor agregado por IF),Infraestrutura,Especialista,Mestre,Doutores
PR,Paraná,Instituto Federasl do Paraná,Telêmaco Borba,0.734,"69,872",3,"21,902.66","17,904","1,998","3,570","10,645",,5,,"3,7",13,323,2,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Toledo,0.661,"5,764",1.4,"5,861.11",674,112,242,842,,1,,"4,4",13,323,3,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Umuarama,0.761,"100,676",2,"15,364.88","33,290","4,485","4,577","12,084",,9,,"4,4",13,323,3,51.25,36.91,11.84
PE,Pernambuco,Instituto Federal de Pernambuco,Afogados da Ingazeira,0.657,"35,088",1.6,"6,291.12","3,198",645,"1,980","5,557",,4,,"4,1",28,225,2,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal de Pernambuco,Barreiros,0.586,"40,732",0.8,"5,870.01","2,821",464,"2,535","8,052",,4,,"3,4",28,225,2,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal de Pernambuco,Belo Jardim,0.629,"72,432",1.8,"11,863.69","10,239",975,"4,055","13,647",,4,,"4,0",28,225,3,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal de Pernambuco,Caruaru,0.677,"314,912",1.7,"10,662.30","78,647","8,276","13,584","51,099",,3,,"3,7",28,225,3,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal do Sertão Pernambucano,Floresta,0.626,"29,285",1.4,"10,299.96","3,431",298,"1,578","5,709",,4,,"4,4",10,257,2,55.95,35.60,8.45
PE,Pernambuco,Instituto Federal de Pernambuco,Garanhuns,0.664,"129,408",1.8,"9,218.71","19,866","2,539","6,914","23,030",,3,,"4,1",28,225,3,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal de Pernambuco,Ipojuca,0.619,"80,637",4.2,"116,198.31","81,539","1,597","3,339","16,365",,3,,"2,7",28,225,2,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal do Sertão Pernambucano,Ouricuri,0.572,"64,358",1.6,"5,271.84","4,424",569,"2,726","14,604",,4,,"4,1",10,257,2,55.95,35.60,8.45
PE,Pernambuco,Instituto Federal de Pernambuco,Pesqueira,0.610,"62,931",1.6,"6,039.88","5,552",932,"3,541","11,304",,3,,"3,5",28,225,4,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal do Sertão Pernambucano,Petrolina,0.697,"293,962",2,"11,044.33","61,609","5,765","17,169","55,864",,8,,"3,9",10,257,3,55.95,35.60,8.45
